"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-2.283","0.263","-2.813","-2.283","-1.754","-2.282"
"","BvAxCvIBefore - Impact","-2.281","0.372","-3.03","-2.281","-1.534","-2.281"
"","Precision for Location","21678.531","21772.32","1843.804","15301.591","79666.455","5196.966"
"","Precision for Time x Location","25714.949","26713.786","2582.986","17860.298","96422.774","7106.826"
"","Precision for sublocation","5.23","3.094","1.275","4.586","13.031","3.243"
"","Precision for  Time by sublocation","25804.721","27265.101","2554.548","17753.083","97723.852","7010.066"
"","Precision for Time","28534","30849.322","3052.407","19381.31","110059.29","8242.26"
"","Precision for repID","19364.546","18674.086","1467.212","13942.46","68340.679","4107.662"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"143.8","6.922","136.878","129.956","143.8","6.922","141.452","3.652"
