"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.566","0.136","-1.841","-1.566","-1.296","-1.564"
"","BvAxCvIBefore - Impact","-0.524","0.258","-1.038","-0.524","-0.01","-0.524"
"","Precision for Location","18624.87","18365.544","1269.431","13206.445","67186.002","3472.076"
"","Precision for Time x Location","21231.479","20220.12","1908.407","15438.071","75161.555","5426.029"
"","Precision for sublocation","10.445","5.321","3.268","9.438","23.624","7.432"
"","Precision for  Time by sublocation","19835.849","18894.178","1640.29","14412.772","69781.454","4652.219"
"","Precision for Time","20103.076","19140.442","1659.115","14609.013","70761.104","4712.137"
"","Precision for repID","20572.519","19644.022","1740.038","14932.264","72828.728","4922.696"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"182.011","9.409","172.602","163.192","182.011","9.409","174.764","1.813"
