"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.329","0.186","-1.708","-1.328","-0.956","-1.326"
"","BvAxCvIBefore - Impact","-1.594","0.32","-2.242","-1.594","-0.947","-1.594"
"","Precision for Location","21.457","18.447","2.933","16.412","70.111","8.131"
"","Precision for Time x Location","19247.56","18633.842","1443.551","13825.752","68148.118","4034.046"
"","Precision for Time","24768.908","25271.349","2499.836","17371.697","92108.026","6909.5"
"","Precision for repID","23148.871","23428.384","2110.227","16285.533","85062.954","5911.68"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"84.272","4.365","79.907","75.542","84.272","4.365","81.046","0.945"
