"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.25","0.802","-2.864","-1.25","0.365","-1.25"
"","BvAxCvIBefore - Impact","0.56","1.133","-1.723","0.56","2.839","0.56"
"","Precision for Location","1.878","1.588","0.22","1.453","6.038","0.638"
"","Precision for Time x Location","22064.12","20340.283","2183.021","16332.502","76172.742","6267.418"
"","Precision for sublocation","66.244","45.845","12.754","55.355","184.515","34.242"
"","Precision for  Time by sublocation","28964.55","29465.4","3461.189","20332.749","107137.857","9302.766"
"","Precision for Time","29126.217","29734.591","3460.697","20408.159","107997.996","9306.136"
"","Precision for repID","23493.195","21966.61","2449.88","17259.38","81217.165","6956.598"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"160.41","7.656","152.754","145.098","160.41","7.656","156.296","2.826"
