"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,1,125,-0.2,0.01
"2",1,3,1,3,1,1,1,125,-0.2,0.01
"3",1,2,1,3,2,1,1,125,-0.2,0.0175
"4",1,3,1,3,2,1,1,125,-0.2,0.04
"5",1,2,1,3,3,1,1,125,-0.2,0.025
"6",1,3,1,3,3,1,1,125,-0.2,0.0375
"7",1,2,1,3,1,1,1,250,-0.2,0.015
"8",1,3,1,3,1,1,1,250,-0.2,0.0275
"9",1,2,1,3,2,1,1,250,-0.2,0.0525
"10",1,3,1,3,2,1,1,250,-0.2,0.055
"11",1,2,1,3,3,1,1,250,-0.2,0.0475
"12",1,3,1,3,3,1,1,250,-0.2,0.0425
"13",1,2,1,3,1,1,1,500,-0.2,0.0325
"14",1,3,1,3,1,1,1,500,-0.2,0.065
"15",1,2,1,3,2,1,1,500,-0.2,0.0875
"16",1,3,1,3,2,1,1,500,-0.2,0.1375
"17",1,2,1,3,3,1,1,500,-0.2,0.1475
"18",1,3,1,3,3,1,1,500,-0.2,0.1725
"19",1,2,1,3,1,1,1,1500,-0.2,0.23
"20",1,3,1,3,1,1,1,1500,-0.2,0.3375
"21",1,2,1,3,2,1,1,1500,-0.2,0.4775
"22",1,3,1,3,2,1,1,1500,-0.2,0.64
"23",1,2,1,3,3,1,1,1500,-0.2,0.71
"24",1,3,1,3,3,1,1,1500,-0.2,0.7225
"25",1,2,1,3,1,1,1,2500,-0.2,0.5325
"26",1,3,1,3,1,1,1,2500,-0.2,0.585
"27",1,2,1,3,2,1,1,2500,-0.2,0.7975
"28",1,3,1,3,2,1,1,2500,-0.2,0.8475
"29",1,2,1,3,3,1,1,2500,-0.2,0.89
"30",1,3,1,3,3,1,1,2500,-0.2,0.94
"31",1,2,1,3,1,1,1,125,-0.4,0.0825
"32",1,3,1,3,1,1,1,125,-0.4,0.1
"33",1,2,1,3,2,1,1,125,-0.4,0.205
"34",1,3,1,3,2,1,1,125,-0.4,0.22
"35",1,2,1,3,3,1,1,125,-0.4,0.25
"36",1,3,1,3,3,1,1,125,-0.4,0.345
"37",1,2,1,3,1,1,1,250,-0.4,0.255
"38",1,3,1,3,1,1,1,250,-0.4,0.3225
"39",1,2,1,3,2,1,1,250,-0.4,0.4775
"40",1,3,1,3,2,1,1,250,-0.4,0.5275
"41",1,2,1,3,3,1,1,250,-0.4,0.58
"42",1,3,1,3,3,1,1,250,-0.4,0.685
"43",1,2,1,3,1,1,1,500,-0.4,0.5625
"44",1,3,1,3,1,1,1,500,-0.4,0.7025
"45",1,2,1,3,2,1,1,500,-0.4,0.8575
"46",1,3,1,3,2,1,1,500,-0.4,0.885
