"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.132","0.306","-1.751","-1.133","-0.513","-1.133"
"","BvAxCvIBefore - Impact","-0.53","0.531","-1.602","-0.53","0.541","-0.53"
"","Precision for Location","7.06","5.255","1.142","5.76","20.706","3.186"
"","Precision for Time x Location","19400.256","18763.935","1469.294","13947.088","68638.5","4117.009"
"","Precision for Time","19389.288","18774.258","1459.831","13928.038","68648.03","4082.89"
"","Precision for repID","19317.648","18696.854","1445.904","13876.452","68372.365","4032.539"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"83.418","4.317","79.101","74.784","83.418","4.317","80.082","0.82"
