"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.257","0.246","-1.748","-1.257","-0.766","-1.257"
"","BvAxCvIBefore - Impact","-1.627","0.458","-2.544","-1.627","-0.712","-1.627"
"","Precision for Location","416.398","7980.031","1.696","32.11","2558.234","3.657"
"","Precision for Time x Location","26144.403","27015.709","2719.263","18211.72","97474.273","7492.681"
"","Precision for sublocation","6.825","4.657","1.096","5.798","18.658","3.215"
"","Precision for  Time by sublocation","19871.013","18908.584","1641.338","14445.21","69837.49","4659.137"
"","Precision for Time","26676.939","27804.192","2799.439","18493.617","99599.734","7696.66"
"","Precision for repID","20620.93","19727.115","1751.704","14952.105","73140.265","4951.224"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"181.922","9.522","172.401","162.879","181.922","9.522","174.476","1.744"
