"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,1,125,-0.2,0.0425
"2",1,3,1,3,1,1,1,125,-0.2,0.0525
"3",1,2,1,3,2,1,1,125,-0.2,0.06
"4",1,3,1,3,2,1,1,125,-0.2,0.08
"5",1,2,1,3,3,1,1,125,-0.2,0.085
"6",1,3,1,3,3,1,1,125,-0.2,0.115
"7",1,2,1,3,1,1,1,250,-0.2,0.1025
"8",1,3,1,3,1,1,1,250,-0.2,0.095
"9",1,2,1,3,2,1,1,250,-0.2,0.145
"10",1,3,1,3,2,1,1,250,-0.2,0.19
"11",1,2,1,3,3,1,1,250,-0.2,0.2425
"12",1,3,1,3,3,1,1,250,-0.2,0.2525
"13",1,2,1,3,1,1,1,500,-0.2,0.2075
"14",1,3,1,3,1,1,1,500,-0.2,0.27
"15",1,2,1,3,2,1,1,500,-0.2,0.415
"16",1,3,1,3,2,1,1,500,-0.2,0.52
"17",1,2,1,3,3,1,1,500,-0.2,0.5
"18",1,3,1,3,3,1,1,500,-0.2,0.5725
"19",1,2,1,3,1,1,1,1500,-0.2,0.7025
"20",1,3,1,3,1,1,1,1500,-0.2,0.7725
"21",1,2,1,3,2,1,1,1500,-0.2,0.88
"22",1,3,1,3,2,1,1,1500,-0.2,0.9525
"23",1,2,1,3,3,1,1,1500,-0.2,0.945
"24",1,3,1,3,3,1,1,1500,-0.2,0.985
"25",1,2,1,3,1,1,1,2500,-0.2,0.8725
"26",1,3,1,3,1,1,1,2500,-0.2,0.9025
"27",1,2,1,3,2,1,1,2500,-0.2,0.9825
"28",1,3,1,3,2,1,1,2500,-0.2,0.9825
"29",1,2,1,3,3,1,1,2500,-0.2,0.995
"30",1,3,1,3,3,1,1,2500,-0.2,0.9975
"31",1,2,1,3,1,1,1,125,-0.4,0.325
"32",1,3,1,3,1,1,1,125,-0.4,0.3575
"33",1,2,1,3,2,1,1,125,-0.4,0.515
"34",1,3,1,3,2,1,1,125,-0.4,0.615
"35",1,2,1,3,3,1,1,125,-0.4,0.65
"36",1,3,1,3,3,1,1,125,-0.4,0.745
"37",1,2,1,3,1,1,1,250,-0.4,0.6575
"38",1,3,1,3,1,1,1,250,-0.4,0.71
"39",1,2,1,3,2,1,1,250,-0.4,0.9
"40",1,3,1,3,2,1,1,250,-0.4,0.9025
"41",1,2,1,3,3,1,1,250,-0.4,0.945
"42",1,3,1,3,3,1,1,250,-0.4,0.9675
"43",1,2,1,3,1,1,1,500,-0.4,0.9275
"44",1,3,1,3,1,1,1,500,-0.4,0.96
"45",1,2,1,3,2,1,1,500,-0.4,0.99
"46",1,3,1,3,2,1,1,500,-0.4,1
"47",1,2,1,3,3,1,1,500,-0.4,1
"48",1,3,1,3,3,1,1,500,-0.4,1
"49",1,2,1,3,1,1,1,1500,-0.4,0.9975
"50",1,3,1,3,1,1,1,1500,-0.4,1
"51",1,2,1,3,2,1,1,1500,-0.4,1
"52",1,3,1,3,2,1,1,1500,-0.4,1
"53",1,2,1,3,3,1,1,1500,-0.4,1
"54",1,3,1,3,3,1,1,1500,-0.4,1
"55",1,2,1,3,1,1,1,2500,-0.4,1
"56",1,3,1,3,1,1,1,2500,-0.4,1
"57",1,2,1,3,2,1,1,2500,-0.4,0.9975
"58",1,3,1,3,2,1,1,2500,-0.4,1
"59",1,2,1,3,3,1,1,2500,-0.4,1
"60",1,3,1,3,3,1,1,2500,-0.4,1
"61",1,2,1,3,1,1,1,125,-0.6,0.8125
"62",1,3,1,3,1,1,1,125,-0.6,0.8625
"63",1,2,1,3,2,1,1,125,-0.6,0.9525
"64",1,3,1,3,2,1,1,125,-0.6,0.98
"65",1,2,1,3,3,1,1,125,-0.6,0.9875
"66",1,3,1,3,3,1,1,125,-0.6,0.9975
"67",1,2,1,3,1,1,1,250,-0.6,0.98
"68",1,3,1,3,1,1,1,250,-0.6,1
"69",1,2,1,3,2,1,1,250,-0.6,1
"70",1,3,1,3,2,1,1,250,-0.6,1
"71",1,2,1,3,3,1,1,250,-0.6,0.9975
"72",1,3,1,3,3,1,1,250,-0.6,1
"73",1,2,1,3,1,1,1,500,-0.6,0.995
"74",1,3,1,3,1,1,1,500,-0.6,1
"75",1,2,1,3,2,1,1,500,-0.6,1
"76",1,3,1,3,2,1,1,500,-0.6,1
"77",1,2,1,3,3,1,1,500,-0.6,1
"78",1,3,1,3,3,1,1,500,-0.6,1
"79",1,2,1,3,1,1,1,1500,-0.6,1
"80",1,3,1,3,1,1,1,1500,-0.6,1
"81",1,2,1,3,2,1,1,1500,-0.6,1
"82",1,3,1,3,2,1,1,1500,-0.6,1
"83",1,2,1,3,3,1,1,1500,-0.6,1
"84",1,3,1,3,3,1,1,1500,-0.6,1
"85",1,2,1,3,1,1,1,2500,-0.6,1
"86",1,3,1,3,1,1,1,2500,-0.6,1
"87",1,2,1,3,2,1,1,2500,-0.6,1
"88",1,3,1,3,2,1,1,2500,-0.6,1
"89",1,2,1,3,3,1,1,2500,-0.6,1
"90",1,3,1,3,3,1,1,2500,-0.6,1
"91",1,2,1,3,1,1,1,125,-0.8,0.995
"92",1,3,1,3,1,1,1,125,-0.8,0.995
"93",1,2,1,3,2,1,1,125,-0.8,1
"94",1,3,1,3,2,1,1,125,-0.8,0.9975
"95",1,2,1,3,3,1,1,125,-0.8,1
"96",1,3,1,3,3,1,1,125,-0.8,1
"97",1,2,1,3,1,1,1,250,-0.8,1
"98",1,3,1,3,1,1,1,250,-0.8,0.9975
"99",1,2,1,3,2,1,1,250,-0.8,1
"100",1,3,1,3,2,1,1,250,-0.8,1
"101",1,2,1,3,3,1,1,250,-0.8,1
"102",1,3,1,3,3,1,1,250,-0.8,1
"103",1,2,1,3,1,1,1,500,-0.8,1
"104",1,3,1,3,1,1,1,500,-0.8,1
"105",1,2,1,3,2,1,1,500,-0.8,1
"106",1,3,1,3,2,1,1,500,-0.8,1
"107",1,2,1,3,3,1,1,500,-0.8,1
"108",1,3,1,3,3,1,1,500,-0.8,1
"109",1,2,1,3,1,1,1,1500,-0.8,1
"110",1,3,1,3,1,1,1,1500,-0.8,1
"111",1,2,1,3,2,1,1,1500,-0.8,1
"112",1,3,1,3,2,1,1,1500,-0.8,1
"113",1,2,1,3,3,1,1,1500,-0.8,1
"114",1,3,1,3,3,1,1,1500,-0.8,1
"115",1,2,1,3,1,1,1,2500,-0.8,1
"116",1,3,1,3,1,1,1,2500,-0.8,1
"117",1,2,1,3,2,1,1,2500,-0.8,1
"118",1,3,1,3,2,1,1,2500,-0.8,1
"119",1,2,1,3,3,1,1,2500,-0.8,1
"120",1,3,1,3,3,1,1,2500,-0.8,1
