"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.573","0.492","-2.561","-1.573","-0.585","-1.573"
"","BvAxCvIBefore - Impact","-2.906","0.603","-4.181","-2.883","-1.765","-2.842"
"","Precision for Location","18761.261","18496.848","1300.003","13310.778","67592.487","3560.824"
"","Precision for Time x Location","22985.714","22175.321","2231.956","16604.267","81436.392","6311.779"
"","Precision for sublocation","0.777","0.42","0.232","0.691","1.833","0.529"
"","Precision for  Time by sublocation","22456.465","21412.969","2156.272","16327.836","79398.55","6134.331"
"","Precision for Time","24242.233","23547.389","2549.508","17455.953","86831.103","7171.739"
"","Precision for repID","20682.015","19267.622","1841.688","15221.583","71757.621","5259.104"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"236.971","13.079","223.892","210.813","236.971","13.079","227.836","3.303"
