"Model","Parameter","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode"
"Fitted model","BvAxCvIBefore - Control","-1.57","0.18","-1.93","-1.569","-1.212","-1.569"
"","BvAxCvIBefore - Impact","-2.157","0.238","-2.632","-2.156","-1.684","-2.155"
"","Precision for Location","18623.961","18366.36","1266.498","13204.269","67190.854","3462.58"
"","Precision for Time x Location","20356.973","19134.588","1806.702","14907.921","71143.929","5129.875"
"","Precision for sublocation","5.543","2.423","2.006","5.167","11.317","4.361"
"","Precision for  Time by sublocation","20551.846","19182.386","1835.864","15109.845","71415.605","5234"
"","Precision for Time","20078.911","19080.204","1757.794","14614.928","70813.889","5001.496"
"","Precision for repID","20696.584","19216.131","1822.028","15258.015","71527.431","5207.566"
"","","","","","","",""
"dic","p.eff","mean.deviance","deviance.mean","family.dic","family.p.eff","waic","waic.p.eff"
"230.187","11.732","218.455","206.723","230.187","11.732","221.065","2.189"
