"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,1,125,-0.2,0.01
"2",1,2,2,3,1,1,1,125,-0.2,0.01
"3",1,2,3,3,1,1,1,125,-0.2,0.03
"4",1,2,1,3,2,1,1,125,-0.2,0.01
"5",1,2,2,3,2,1,1,125,-0.2,0.0125
"6",1,2,3,3,2,1,1,125,-0.2,0.0425
"7",1,2,1,3,3,1,1,125,-0.2,0.015
"8",1,2,2,3,3,1,1,125,-0.2,0.0375
"9",1,2,3,3,3,1,1,125,-0.2,0.0425
"10",1,2,1,3,1,1,1,250,-0.2,0.005
"11",1,2,2,3,1,1,1,250,-0.2,0.015
"12",1,2,3,3,1,1,1,250,-0.2,0.025
"13",1,2,1,3,2,1,1,250,-0.2,0.0175
"14",1,2,2,3,2,1,1,250,-0.2,0.0425
"15",1,2,3,3,2,1,1,250,-0.2,0.1
"16",1,2,1,3,3,1,1,250,-0.2,0.05
"17",1,2,2,3,3,1,1,250,-0.2,0.065
"18",1,2,3,3,3,1,1,250,-0.2,0.105
"19",1,2,1,3,1,1,1,500,-0.2,0.04
"20",1,2,2,3,1,1,1,500,-0.2,0.0525
"21",1,2,3,3,1,1,1,500,-0.2,0.11
"22",1,2,1,3,2,1,1,500,-0.2,0.055
"23",1,2,2,3,2,1,1,500,-0.2,0.12
"24",1,2,3,3,2,1,1,500,-0.2,0.245
"25",1,2,1,3,3,1,1,500,-0.2,0.0475
"26",1,2,2,3,3,1,1,500,-0.2,0.2125
"27",1,2,3,3,3,1,1,500,-0.2,0.2975
"28",1,2,1,3,1,1,1,125,-0.4,0.055
"29",1,2,2,3,1,1,1,125,-0.4,0.145
"30",1,2,3,3,1,1,1,125,-0.4,0.205
"31",1,2,1,3,2,1,1,125,-0.4,0.09
"32",1,2,2,3,2,1,1,125,-0.4,0.245
"33",1,2,3,3,2,1,1,125,-0.4,0.3325
"34",1,2,1,3,3,1,1,125,-0.4,0.12
"35",1,2,2,3,3,1,1,125,-0.4,0.3125
"36",1,2,3,3,3,1,1,125,-0.4,0.51
"37",1,2,1,3,1,1,1,250,-0.4,0.1225
"38",1,2,2,3,1,1,1,250,-0.4,0.3175
"39",1,2,3,3,1,1,1,250,-0.4,0.4825
"40",1,2,1,3,2,1,1,250,-0.4,0.2125
"41",1,2,2,3,2,1,1,250,-0.4,0.5225
"42",1,2,3,3,2,1,1,250,-0.4,0.7825
"43",1,2,1,3,3,1,1,250,-0.4,0.3275
"44",1,2,2,3,3,1,1,250,-0.4,0.6375
"45",1,2,3,3,3,1,1,250,-0.4,0.8775
"46",1,2,1,3,1,1,1,500,-0.4,0.3025
"47",1,2,2,3,1,1,1,500,-0.4,0.6275
"48",1,2,3,3,1,1,1,500,-0.4,0.8775
"49",1,2,1,3,2,1,1,500,-0.4,0.56
"50",1,2,2,3,2,1,1,500,-0.4,0.8725
"51",1,2,3,3,2,1,1,500,-0.4,0.985
"52",1,2,1,3,3,1,1,500,-0.4,0.6825
"53",1,2,2,3,3,1,1,500,-0.4,0.9575
"54",1,2,3,3,3,1,1,500,-0.4,0.9975
"55",1,2,1,3,1,1,1,125,-0.6,0.26
"56",1,2,2,3,1,1,1,125,-0.6,0.4825
"57",1,2,3,3,1,1,1,125,-0.6,0.725
"58",1,2,1,3,2,1,1,125,-0.6,0.3775
"59",1,2,2,3,2,1,1,125,-0.6,0.73
"60",1,2,3,3,2,1,1,125,-0.6,0.9425
"61",1,2,1,3,3,1,1,125,-0.6,0.56
"62",1,2,2,3,3,1,1,125,-0.6,0.89
"63",1,2,3,3,3,1,1,125,-0.6,0.9725
"64",1,2,1,3,1,1,1,250,-0.6,0.5225
"65",1,2,2,3,1,1,1,250,-0.6,0.8775
"66",1,2,3,3,1,1,1,250,-0.6,0.98
"67",1,2,1,3,2,1,1,250,-0.6,0.74
"68",1,2,2,3,2,1,1,250,-0.6,0.97
"69",1,2,3,3,2,1,1,250,-0.6,1
"70",1,2,1,3,3,1,1,250,-0.6,0.8
"71",1,2,2,3,3,1,1,250,-0.6,1
"72",1,2,3,3,3,1,1,250,-0.6,0.9
"73",1,2,1,3,1,1,1,500,-0.6,0.7775
"74",1,2,2,3,1,1,1,500,-0.6,0.9925
"75",1,2,3,3,1,1,1,500,-0.6,1
"76",1,2,1,3,2,1,1,500,-0.6,0.955
"77",1,2,2,3,2,1,1,500,-0.6,1
"78",1,2,3,3,2,1,1,500,-0.6,0.92
"79",1,2,1,3,3,1,1,500,-0.6,0.985
"80",1,2,2,3,3,1,1,500,-0.6,1
"81",1,2,3,3,3,1,1,500,-0.6,0.745
"82",1,2,1,3,1,1,1,125,-0.8,0.6575
"83",1,2,2,3,1,1,1,125,-0.8,0.9175
"84",1,2,3,3,1,1,1,125,-0.8,0.985
"85",1,2,1,3,2,1,1,125,-0.8,0.83
"86",1,2,2,3,2,1,1,125,-0.8,0.9975
"87",1,2,3,3,2,1,1,125,-0.8,1
"88",1,2,1,3,3,1,1,125,-0.8,0.895
"89",1,2,2,3,3,1,1,125,-0.8,0.995
"90",1,2,3,3,3,1,1,125,-0.8,1
"91",1,2,1,3,1,1,1,250,-0.8,0.855
"92",1,2,2,3,1,1,1,250,-0.8,0.9975
"93",1,2,3,3,1,1,1,250,-0.8,1
"94",1,2,1,3,2,1,1,250,-0.8,0.9675
"95",1,2,2,3,2,1,1,250,-0.8,1
"96",1,2,3,3,2,1,1,250,-0.8,1
"97",1,2,1,3,3,1,1,250,-0.8,0.995
"98",1,2,2,3,3,1,1,250,-0.8,1
"99",1,2,3,3,3,1,1,250,-0.8,1
"100",1,2,1,3,1,1,1,500,-0.8,0.99
"101",1,2,2,3,1,1,1,500,-0.8,1
"102",1,2,3,3,1,1,1,500,-0.8,1
"103",1,2,1,3,2,1,1,500,-0.8,0.9975
"104",1,2,2,3,2,1,1,500,-0.8,1
"105",1,2,3,3,2,1,1,500,-0.8,1
"106",1,2,1,3,3,1,1,500,-0.8,1
"107",1,2,2,3,3,1,1,500,-0.8,1
"108",1,2,3,3,3,1,1,500,-0.8,1
